iter	Passed	Remaining
816	1104	247
817	1105	246
818	1107	244
819	1108	243
820	1110	242
821	1111	240
822	1113	239
823	1115	238
824	1116	236
825	1118	235
826	1119	234
827	1120	232
828	1121	231
829	1123	230
830	1124	228
831	1125	227
832	1127	225
833	1128	224
834	1129	223
835	1130	221
836	1131	220
837	1133	219
838	1134	217
839	1135	216
840	1137	214
841	1138	213
842	1139	212
843	1140	210
844	1142	209
845	1143	208
846	1144	206
847	1145	205
848	1147	204
849	1148	202
850	1149	201
851	1150	199
852	1151	198
853	1152	197
854	1154	195
855	1155	194
856	1156	193
857	1157	191
858	1158	190
859	1160	188
860	1161	187
861	1162	186
862	1163	184
863	1164	183
864	1166	181
865	1167	180
866	1168	179
867	1169	177
868	1170	176
869	1172	175
870	1173	173
871	1174	172
872	1175	171
873	1177	169
874	1178	168
875	1179	166
876	1180	165
877	1181	164
878	1182	162
879	1184	161
880	1185	160
881	1186	158
882	1187	157
883	1189	156
884	1190	154
885	1191	153
886	1192	151
887	1194	150
888	1195	149
889	1196	147
890	1197	146
891	1199	145
892	1200	143
893	1201	142
894	1202	141
895	1204	139
896	1205	138
897	1206	137
898	1207	135
899	1208	134
900	1210	132
901	1211	131
902	1212	130
903	1214	128
904	1215	127
905	1216	126
906	1217	124
907	1218	123
908	1220	122
909	1221	120
910	1222	119
911	1223	118
912	1225	116
913	1226	115
914	1227	114
915	1228	112
916	1229	111
917	1230	109
918	1232	108
919	1233	107
920	1234	105
921	1235	104
922	1237	103
923	1238	101
924	1239	100
925	1241	99
926	1243	97
927	1244	96
928	1246	95
929	1247	93
930	1248	92
931	1249	91
932	1251	89
933	1253	88
934	1254	87
935	1255	85
936	1256	84
937	1258	83
938	1259	81
939	1260	80
940	1262	79
941	1263	77
942	1264	76
943	1265	75
944	1267	73
945	1268	72
946	1269	71
947	1270	69
948	1272	68
949	1273	67
950	1274	65
951	1275	64
952	1276	62
953	1278	61
954	1279	60
955	1280	58
956	1282	57
957	1283	56
958	1284	54
959	1285	53
960	1286	52
961	1287	50
962	1288	49
963	1290	48
964	1291	46
965	1292	45
966	1293	44
967	1294	42
968	1296	41
969	1297	40
970	1298	38
971	1299	37
972	1301	36
973	1302	34
974	1303	33
975	1304	32
976	1305	30
977	1306	29
978	1308	28
979	1309	26
980	1310	25
981	1311	24
982	1313	22
983	1314	21
984	1315	20
985	1316	18
986	1318	17
987	1319	16
988	1320	14
989	1322	13
990	1323	12
991	1324	10
992	1325	9
993	1326	8
994	1328	6
995	1329	5
996	1330	4
997	1331	2
998	1332	1
999	1334	0
